CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,870,"8,006.55","9,449.40",870,"43,000.00","39,060",21.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,257.00","9,514.20",870,"43,500.00","1,31,460",22.35,-,-,22.30,22.35,30.11,4,-,1,
,350,23,136,-,"7,766.95",976.20,120,"7,778.30","7,923.20",30,"44,000.00",270,120.05,124.00,120,-115.45,120.05,38.15,"38,688","3,652","11,615",
,33,-64,140,-,"6,753.85",300.45,870,"6,430.60","7,795.95",870,"44,500.00","1,32,810",28.65,-,-,28.60,28.65,27.71,2,-,-,
,633,104,305,31.55,"6,865.80",925.95,600,"6,862.15","6,951.20",60,"45,000.00",30,174.00,175.00,60,-81.55,172.00,36.84,"20,953","4,395","5,167",
,-,-,-,-,-,-,870,"5,765.95","7,048.70",870,"45,300.00","1,740",28.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"5,678.60","6,941.70",870,"45,400.00",900,29.65,-,-,-,-,-,-,-,-,
,38,-114,185,34.84,"6,460.85",857.80,870,"5,521.65","6,509.35",60,"45,500.00","2,40,270",66.75,-,-,66.55,66.75,28.11,296,147,147,
,-,-,-,-,-,-,870,"5,502.60","6,747.55",870,"45,600.00","1,800",32.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"5,415.00","6,657.85",870,"45,700.00","2,400",33.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"5,294.80","6,411.50",870,"45,800.00","1,740",35.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"5,227.20","6,318.20",870,"45,900.00","1,800",37.25,-,-,-,-,-,-,-,-,
,222,-125,321,35.01,"6,019.30",930.85,120,"5,810.15","6,159.35",120,"46,000.00",600,251.00,255.00,30,21.45,250.00,35.76,"22,254","3,990","4,112",
