CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"2,201.40","2,616.55",780,"20,200.00","9,100",4.75,4.85,"4,940",-16.05,4.80,40.79,"4,99,772","96,567","1,50,335",
,-,-,-,-,-,-,780,"2,299.60","2,625.30",780,"20,250.00","22,815",4.75,4.85,"3,770",-16.10,4.80,40.04,"88,339","10,577","11,052",
,-,-,-,-,-,-,780,"2,206.35","2,519.75","1,170","20,300.00","1,755",4.90,5.00,"4,875",-16.95,4.95,39.45,"77,712","5,160","8,262",
,-,-,-,-,-,-,780,"2,159.15","2,524.30",780,"20,350.00","1,560",5.10,5.20,130,-16.95,5.05,38.80,"21,395",613,"1,298",
,-,-,-,-,-,-,780,"2,087.65","2,412.00",390,"20,400.00","1,300",5.45,5.55,910,-17.50,5.55,38.55,"65,279","2,707","4,938",
,-,-,-,-,-,-,780,"2,233.40","2,356.70",390,"20,450.00","1,950",5.65,5.85,"1,170",-19.00,5.60,37.84,"23,601","1,145","1,523",
,623,9,469,48.24,"2,239.90",360.55,65,"2,246.60","2,269.00",65,"20,500.00","1,755",6.00,6.10,"2,275",-18.70,5.95,37.39,"3,38,042","-3,845","71,615",
,1,-,-,-,-,-,780,"2,134.80","2,240.80",65,"20,550.00","1,300",6.30,6.50,195,-20.30,6.35,36.97,"36,363","1,758","3,191",
,5,2,4,52.76,"2,161.60",326.35,65,"1,944.45","2,177.35",65,"20,600.00","1,560",6.70,6.80,455,-22.85,6.75,36.53,"1,25,043","-3,644","10,912",
,-,-,-,-,-,-,780,"1,876.55","2,217.90",780,"20,650.00","1,235",7.00,7.20,975,-12.95,7.10,36.02,"27,552","2,739","2,806",
,2,-,-,67.63,-,-,780,"1,987.05","2,112.80",390,"20,700.00","3,510",7.65,7.80,"1,235",7.70,7.75,35.71,"1,03,413","10,069","10,069",
,2,-,-,42.14,-,-,780,"1,933.35","2,040.00",65,"20,750.00","3,380",8.10,8.25,65,8.05,8.10,35.16,"42,953","3,167","3,167",
,2,-,-,66.18,-,-,780,"1,756.55","2,056.95",780,"20,800.00","18,590",8.60,8.75,"1,495",-11.35,8.70,34.75,"1,03,607","13,334","13,819",
,2,-,-,-,-,-,780,"1,668.25","2,049.00",780,"20,850.00","1,300",9.35,9.50,"1,040",9.45,9.50,34.44,"38,494","3,353","3,353",
,4,-,-,62.40,-,-,780,"1,645.00","1,894.60",65,"20,900.00",65,10.00,10.15,"1,820",-10.05,10.00,33.91,"1,04,976","15,378","15,449",
,2,-,-,62.11,-,-,780,"1,613.40","1,842.90",65,"20,950.00",390,10.85,11.05,195,10.80,10.85,33.55,"53,433","2,386","2,386",
,"10,673",-156,"2,819",40.19,"1,745.00",337.50,130,"1,757.70","1,781.55",65,"21,000.00","2,015",11.80,11.95,"1,560",-42.60,11.80,33.21,"5,02,111","31,318","92,251",
,6,-,1,72.58,"1,900.00",502.00,"1,690","1,526.25","1,952.45",780,"21,050.00",975,12.80,13.10,585,12.75,12.80,32.84,"50,046","2,171","2,171",
,28,-,-,41.81,-,-,780,"1,474.90","1,759.15",780,"21,100.00","3,120",13.95,14.15,"2,015",-6.25,13.95,32.50,"1,09,502","8,225","8,269",
,3,-,-,63.88,-,-,780,"1,570.00","1,709.05",780,"21,150.00",325,15.25,15.40,65,15.30,15.35,32.21,"55,190","2,862","2,862",
,14,-,7,66.17,"1,731.90",474.40,"1,690","1,394.55","1,603.45",65,"21,200.00",195,16.80,16.85,"1,300",-56.95,16.80,31.90,"1,88,484","5,343","15,809",
,1,-,-,56.16,-,-,780,"1,468.05","1,579.25",780,"21,250.00","2,340",18.05,18.25,"1,170",17.95,18.00,31.44,"92,100","9,410","9,410",
,5,-,3,37.88,"1,460.30",355.20,65,"1,461.15","1,522.60",390,"21,300.00",260,20.05,20.25,910,20.00,20.05,31.23,"1,74,412","13,880","13,880",
,9,-,3,34.52,"1,400.00",179.55,780,"1,353.30","1,439.60",65,"21,350.00",780,21.75,22.10,975,21.70,21.75,30.85,"1,04,911","5,503","5,503",
,13,-6,10,33.51,"1,350.00",300.90,780,"1,326.85","1,425.80",390,"21,400.00",130,24.25,24.50,715,-2.25,24.40,30.69,"1,99,080","8,582","8,835",
,21,-1,4,45.58,"1,375.65",375.25,780,"1,260.15","1,380.65",780,"21,450.00",780,26.85,27.20,"1,560",-5.05,27.00,30.45,"1,13,181","7,604","7,614",
,"3,342",-869,"2,547",35.51,"1,270.00",288.30,65,"1,275.30","1,290.80",65,"21,500.00",650,29.65,29.85,"1,495",-87.70,29.85,30.20,"7,23,995","9,079","60,846",
,12,-3,8,50.02,"1,328.50",376.70,780,"1,181.20","1,286.05",780,"21,550.00","1,300",32.00,32.60,780,-14.30,32.55,29.85,"1,31,709","12,577","12,586",
,23,9,43,31.49,"1,160.20",240.15,65,"1,169.90","1,239.95",780,"21,600.00","2,275",35.40,35.80,65,-20.65,35.70,29.54,"2,89,746","31,480","31,934",
,38,5,47,34.15,"1,131.70",296.10,780,"1,104.20","1,194.65",780,"21,650.00","1,690",39.50,39.90,130,-110.00,39.60,29.32,"1,77,280","5,382","8,066",
,148,33,355,31.48,"1,072.35",256.90,130,"1,079.60","1,137.30",130,"21,700.00",65,43.85,44.00,585,-115.60,43.95,29.12,"3,55,712","13,997","20,359",
,45,-1,137,32.94,"1,038.90",266.15,130,"1,035.75","1,096.10",130,"21,750.00",845,48.60,49.05,260,-123.25,49.05,28.97,"1,66,603","2,449","4,175",
,409,-53,"1,174",36.02,"1,019.75",265.30,260,"1,003.55","1,019.25","1,755","21,800.00","1,235",53.70,54.15,260,-131.75,54.15,28.73,"4,37,907","4,937","16,309",
,59,-28,216,30.05,935.40,238.50,130,956.55,980.75,130,"21,850.00","2,730",59.40,59.75,130,-141.15,59.40,28.44,"1,81,948","3,008","4,313",
,365,121,"1,082",31.13,901.85,228.80,65,914.45,927.75,130,"21,900.00",65,66.00,66.25,195,-148.55,66.25,28.31,"3,17,400","6,725","11,024",
,92,-102,245,30.28,854.90,209.25,65,870.60,895.10,130,"21,950.00",260,72.45,72.75,130,-95.60,72.75,28.05,"1,80,616","3,792","3,899",
,"5,966",-846,"16,865",32.40,832.65,225.80,260,833.45,839.25,260,"22,000.00",195,80.10,80.35,195,-165.10,80.10,27.82,"11,21,663","15,380","55,312",
,229,-21,880,30.61,778.85,204.65,65,786.50,804.80,195,"22,050.00",715,88.15,88.85,260,-174.70,88.10,27.58,"2,15,684","2,995","4,026",
,879,111,"3,024",30.47,739.55,199.00,65,747.65,760.10,65,"22,100.00","1,885",97.00,97.85,195,-183.70,97.80,27.47,"3,94,660","7,708","13,738",
,420,23,"2,000",29.75,695.75,185.00,260,708.25,720.55,65,"22,150.00",390,106.75,107.40,260,-191.85,107.10,27.21,"2,22,425","2,139","3,814",
,"2,863",354,"8,497",31.82,679.35,200.95,"1,300",669.05,676.10,260,"22,200.00",260,116.90,117.40,130,-201.80,116.80,26.91,"5,35,306","11,836","18,943",
,652,-542,"4,260",29.86,625.00,172.15,260,634.45,646.55,195,"22,250.00",260,128.05,128.85,325,-213.50,129.35,26.82,"2,17,986","2,070","4,377",
,"4,989","-3,875","29,571",30.78,600.00,180.10,260,595.70,600.00,975,"22,300.00",260,140.45,141.55,520,-223.00,141.65,26.60,"4,66,744",675,"17,333",
,"6,262","-2,367","15,241",30.21,560.90,163.90,260,558.95,563.10,260,"22,350.00",260,153.55,154.50,260,-228.85,153.35,26.22,"2,54,746",471,"5,487",
,"6,069","-6,745","37,761",29.80,524.25,152.50,260,524.20,526.85,260,"22,400.00",130,167.65,168.50,"1,105",-241.10,167.65,26.01,"5,22,158","5,569","20,654",
,"1,858","-1,507","17,766",29.32,487.75,141.45,260,489.15,492.25,260,"22,450.00",130,183.15,184.15,260,-249.45,183.45,25.83,"2,54,566","3,649","7,034",
,"24,500","-12,221","1,72,962",29.33,457.75,135.55,260,455.40,457.60,260,"22,500.00",130,199.35,200.40,455,-258.40,200.40,25.65,"10,71,490","7,267","45,104",
,"2,448",-985,"36,691",28.95,424.40,125.30,260,423.50,425.45,260,"22,550.00",520,216.75,217.75,"1,625",-267.60,217.75,25.39,"3,08,605","4,942","7,100",
,"12,861","-4,345","1,82,236",28.60,392.40,116.55,520,392.40,393.85,455,"22,600.00",195,235.35,236.25,260,-277.20,235.25,25.05,"7,06,332","7,079","18,292",
,"8,898","6,069","1,74,074",28.31,362.30,106.60,780,362.25,363.65,260,"22,650.00",130,255.30,256.35,455,-283.40,255.75,24.85,"4,89,092","13,952","15,348",
,"35,470","23,357","6,21,477",28.02,333.35,97.35,390,333.20,333.55,195,"22,700.00",260,275.90,277.15,195,-292.15,276.00,24.51,"11,07,183","29,435","35,450",
,"11,042","8,871","4,73,951",27.77,306.05,88.25,650,305.80,306.20,195,"22,750.00",325,299.20,299.55,325,-301.80,299.65,24.36,"7,31,088","9,371","9,985",
,"34,472","17,362","14,02,459",27.49,279.65,78.10,260,279.50,280.80,910,"22,800.00",715,321.95,323.40,195,-309.65,321.95,23.96,"15,95,780","14,877","22,242",
,"14,751","11,974","8,69,087",27.34,255.95,70.85,65,255.65,256.50,195,"22,850.00",260,346.85,348.25,195,-307.45,348.30,23.78,"7,92,582","8,228","9,318",
,"34,692","23,999","15,31,797",27.19,233.50,65.40,65,232.45,233.30,195,"22,900.00",455,373.60,375.10,130,-321.05,373.55,23.38,"11,20,889","14,834","20,000",
