"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","22,383.40","22,782.30","22,182.55","22,679.40","22,713.10","-","33.70","0.15","49,51,21,035","38,669.37","26,373.20","21,743.65","-8.66","-2.31"
"HDFCBANK","730.00","755.00","726.65","742.25","751.00","-","8.75","1.18","4,93,10,300","3,651.67","1,020.50","726.65","-14.60","-16.32"
"RELIANCE","1,357.00","1,358.20","1,328.00","1,369.20","1,350.90","-","-18.30","-1.34","2,12,80,051","2,865.68","1,611.80","1,114.85","-0.52","8.18"
"ICICIBANK","1,196.00","1,222.10","1,187.60","1,212.70","1,216.50","-","3.80","0.31","2,08,51,722","2,512.42","1,500.00","1,187.60","-11.46","-8.50"
"SBIN","1,000.00","1,026.00","977.90","1,017.80","1,018.00","-","0.20","0.02","2,07,77,629","2,079.36","1,234.70","730.00","-14.45","30.65"
"BHARTIARTL","1,765.00","1,799.40","1,746.90","1,781.90","1,792.00","-","10.10","0.57","1,08,57,093","1,919.58","2,174.50","1,669.40","-4.33","2.63"
"INFY","1,260.00","1,305.40","1,259.80","1,275.70","1,297.50","-","21.80","1.71","1,28,73,492","1,654.68","1,728.00","1,215.10","0.67","-13.30"
"ETERNAL","230.95","232.50","223.74","236.52","231.99","-","-4.53","-1.92","6,65,56,155","1,513.55","368.45","194.80","-4.48","10.00"
"LT","3,539.30","3,629.00","3,470.00","3,607.50","3,610.00","-","2.50","0.07","41,21,638","1,462.75","4,440.00","2,965.30","-11.23","5.55"
"TCS","2,386.00","2,469.90","2,375.70","2,408.20","2,445.70","-","37.50","1.56","53,78,361","1,306.22","3,630.50","2,346.20","-6.42","-28.13"
"AXISBANK","1,174.60","1,202.30","1,150.30","1,193.10","1,198.10","-","5.00","0.42","95,01,543","1,116.41","1,418.30","1,032.35","-12.69","9.93"
"M&M","2,975.00","3,028.80","2,928.10","3,031.50","3,007.00","-","-24.50","-0.81","32,97,975","982.44","3,839.90","2,425.00","-9.82","15.15"
"INDIGO","4,070.00","4,211.40","3,970.00","4,180.80","4,170.00","-","-10.80","-0.26","22,22,700","906.97","6,232.50","3,895.20","-7.75","-16.66"
"HCLTECH","1,347.00","1,412.80","1,341.20","1,354.40","1,395.00","-","40.60","3.00","65,09,389","901.24","1,780.10","1,297.70","1.75","-5.11"
"BEL","417.00","423.60","407.50","418.70","421.60","-","2.90","0.69","1,96,86,517","820.40","473.45","256.20","-7.13","46.64"
"KOTAKBANK","350.30","359.85","345.50","356.05","357.80","-","1.75","0.49","2,20,56,018","777.10","460.38","345.50","-13.39","-16.11"
"BAJFINANCE","809.00","830.05","792.45","817.30","828.90","-","11.60","1.42","91,13,618","739.89","1,102.50","787.90","-15.27","-3.56"
"HINDALCO","898.95","920.95","884.80","904.60","919.95","-","15.35","1.70","76,98,211","696.50","1,029.80","546.45","-2.13","40.96"
"SUNPHARMA","1,665.00","1,700.00","1,620.00","1,728.50","1,692.00","-","-36.50","-2.11","39,37,824","659.66","1,851.20","1,548.00","-3.45","-4.41"
"TITAN","3,996.00","4,109.10","3,944.70","4,065.50","4,078.00","-","12.50","0.31","16,14,868","653.79","4,378.40","2,925.00","-4.50","30.39"
"SHRIRAMFIN","876.00","895.00","863.45","900.55","891.80","-","-8.75","-0.97","72,30,236","634.95","1,108.00","566.50","-15.27","36.33"
"ONGC","288.50","288.80","283.50","288.05","286.10","-","-1.95","-0.68","2,09,35,809","598.68","293.00","205.00","1.38","17.59"
"NTPC","359.95","361.30","352.00","364.65","358.90","-","-5.75","-1.58","1,65,51,512","588.57","394.50","315.55","-4.94","-"
"MARUTI","12,389.00","12,673.00","12,239.00","12,509.00","12,590.00","-","81.00","0.65","4,38,227","546.16","17,370.00","11,059.45","-12.50","7.72"
"TATASTEEL","192.91","194.85","187.95","194.60","193.50","-","-1.10","-0.57","2,76,33,959","527.89","216.45","125.30","-8.30","25.96"
"ITC","290.25","293.65","288.40","291.70","292.30","-","0.60","0.21","1,80,82,775","526.44","444.20","287.00","-7.18","-28.60"
"POWERGRID","290.20","292.00","283.50","292.80","290.95","-","-1.85","-0.63","1,72,22,200","494.71","322.00","250.00","-1.97","-2.72"
"EICHERMOT","6,766.00","6,766.00","6,585.00","6,825.50","6,660.00","-","-165.50","-2.42","6,60,432","438.64","8,230.00","4,999.95","-14.90","23.81"
"ADANIPORTS","1,354.40","1,384.20","1,332.60","1,385.40","1,380.00","-","-5.40","-0.39","32,10,456","436.01","1,584.00","1,041.50","-6.14","15.01"
"DRREDDY","1,187.50","1,222.60","1,167.50","1,209.60","1,214.00","-","4.40","0.36","35,60,727","430.00","1,379.70","1,020.00","-6.21","5.43"
"JIOFIN","227.85","230.14","223.55","231.93","229.95","-","-1.98","-0.85","1,85,41,635","419.97","338.60","203.10","-7.65","-0.20"
"ASIANPAINT","2,185.00","2,185.10","2,142.40","2,225.80","2,170.40","-","-55.40","-2.49","18,54,061","401.01","2,985.70","2,115.00","-5.93","-7.62"
"TRENT","3,435.00","3,567.40","3,400.20","3,526.50","3,532.90","-","6.40","0.18","11,31,209","394.92","6,261.00","3,275.50","-8.20","-37.75"
"CIPLA","1,190.00","1,196.60","1,165.70","1,195.90","1,195.00","-","-0.90","-0.08","31,28,666","370.89","1,673.00","1,165.70","-11.59","-20.10"
"BAJAJFINSV","1,635.00","1,646.50","1,597.00","1,647.00","1,640.00","-","-7.00","-0.43","22,84,337","370.80","2,195.00","1,597.00","-15.55","-14.60"
"TECHM","1,390.00","1,447.00","1,383.50","1,404.50","1,439.00","-","34.50","2.46","25,01,510","356.80","1,854.00","1,209.40","6.96","5.09"
"ULTRACEMCO","10,639.00","10,663.00","10,365.00","10,714.00","10,600.00","-","-114.00","-1.06","3,33,524","351.13","13,110.00","10,325.00","-15.34","-8.67"
"ADANIENT","1,805.00","1,842.90","1,770.10","1,842.50","1,833.00","-","-9.50","-0.52","18,30,598","329.43","2,616.50","1,753.00","-13.72","-21.69"
"HDFCLIFE","568.60","568.90","555.10","572.95","565.00","-","-7.95","-1.39","58,37,873","328.26","820.75","555.10","-20.12","-18.46"
"WIPRO","190.50","195.34","188.58","191.18","194.80","-","3.62","1.89","1,66,23,045","320.94","273.10","186.50","-1.90","-24.01"
"COALINDIA","448.40","453.30","440.50","449.40","449.30","-","-0.10","-0.02","67,01,003","299.35","476.00","356.00","5.41","13.16"
"HINDUNILVR","2,055.00","2,069.90","2,022.50","2,064.70","2,065.00","-","0.30","0.01","14,31,905","293.06","2,750.00","2,022.50","-11.01","-8.00"
"TMPV","298.00","304.30","295.05","302.95","303.50","-","0.55","0.18","90,98,035","272.39","744.00","294.30","-18.11","-53.59"
"TATACONSUM","1,020.00","1,046.10","1,007.20","1,023.80","1,044.90","-","21.10","2.06","25,86,178","267.32","1,220.90","1,007.20","-7.14","-2.44"
"SBILIFE","1,760.00","1,778.90","1,728.10","1,790.50","1,768.90","-","-21.60","-1.21","14,94,738","261.63","2,132.00","1,430.55","-12.96","14.70"
"JSWSTEEL","1,135.00","1,145.80","1,106.40","1,140.40","1,135.20","-","-5.20","-0.46","22,08,479","249.27","1,284.70","905.20","-10.42","8.73"
"APOLLOHOSP","7,150.50","7,368.00","7,150.50","7,305.50","7,299.00","-","-6.50","-0.09","3,38,111","245.74","8,099.50","6,490.85","-6.32","9.41"
"BAJAJ-AUTO","8,835.50","8,835.50","8,624.00","8,895.50","8,740.00","-","-155.50","-1.75","2,54,975","222.68","10,187.00","7,089.35","-10.60","10.46"
"MAXHEALTH","954.00","958.30","929.05","958.90","946.50","-","-12.40","-1.29","18,89,808","177.85","1,314.30","929.05","-12.65","-15.59"
"NESTLEIND","1,173.30","1,200.00","1,159.40","1,180.80","1,190.00","-","9.20","0.78","13,57,820","160.82","1,340.40","1,074.00","-7.01","5.98"
