"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP SELECT","12,296.50","12,423.85","12,046.20","12,460.05","12,394.55","-","-65.50","-0.53","25,45,76,192","7,427.21","14,118.40","5,520.25","-6.74","7.65"
"DIXON","10,010.00","10,345.50","9,732.00","10,254.00","9,890.00","-","-364.00","-3.55","12,15,237","1,213.31","18,471.00","9,600.00","-2.57","-26.68"
"BSE","2,808.00","2,865.00","2,763.00","2,867.60","2,856.10","-","-11.50","-0.40","34,93,966","983.13","3,227.00","1,659.45","8.04","52.44"
"PERSISTENT","4,970.10","5,267.00","4,963.90","5,049.10","5,225.90","-","176.80","3.50","9,64,640","497.57","6,599.00","4,148.95","11.82","9.02"
"ASHOKLEY","147.40","149.14","143.13","149.11","148.40","-","-0.71","-0.48","3,39,40,797","495.23","215.42","95.93","-29.00","41.37"
"HEROMOTOCO","5,076.00","5,077.00","4,904.00","5,122.00","5,018.50","-","-103.50","-2.02","7,53,867","375.10","6,388.50","3,344.00","-10.25","33.71"
"LUPIN","2,269.20","2,286.00","2,170.10","2,274.90","2,265.00","-","-9.90","-0.44","12,31,890","276.35","2,377.60","1,795.20","-1.99","8.08"
"SWIGGY","262.50","277.00","256.70","265.30","275.15","-","9.85","3.71","1,01,94,616","272.58","474.00","256.70","-4.79","-20.28"
"POLYCAB","6,860.00","6,906.00","6,690.50","6,925.00","6,877.00","-","-48.00","-0.69","3,87,042","263.36","8,722.00","4,567.00","-19.55","32.15"
"SUZLON","40.50","40.98","39.77","41.12","40.94","-","-0.18","-0.44","6,48,25,364","260.92","74.30","38.19","-0.02","-28.79"
"HINDPETRO","329.00","329.65","318.25","335.55","326.35","-","-9.20","-2.74","75,95,679","245.04","508.45","316.20","-23.12","-9.96"
"AUROPHARMA","1,335.50","1,338.90","1,266.10","1,342.10","1,336.00","-","-6.10","-0.45","18,70,240","244.66","1,359.90","1,010.00","10.38","13.57"
"PAYTM","988.00","1,011.00","962.00","997.10","1,002.95","-","5.85","0.59","21,81,909","215.28","1,381.80","753.10","-5.33","19.91"
"MARICO","742.10","767.55","728.95","744.50","760.15","-","15.65","2.10","28,58,545","215.05","813.50","643.80","-2.44","15.01"
"BHEL","248.95","249.30","240.92","251.84","248.00","-","-3.84","-1.52","79,87,056","195.88","305.90","193.50","-5.40","13.41"
"INDUSINDBK","772.20","784.75","754.00","785.65","775.50","-","-10.15","-1.29","24,81,604","189.87","968.85","637.00","-17.72","9.32"
"AUBANK","858.00","871.65","831.65","874.90","869.95","-","-4.95","-0.57","20,79,992","176.38","1,039.20","513.50","-8.55","54.40"
"SRF","2,485.00","2,485.00","2,395.30","2,555.20","2,419.00","-","-136.20","-5.33","7,15,256","173.05","3,325.00","2,381.00","-4.65","-16.62"
"YESBANK","17.70","17.94","17.30","17.91","17.90","-","-0.01","-0.06","9,81,25,615","172.01","24.30","16.16","-11.30","-0.28"
"BHARATFORG","1,644.70","1,657.40","1,613.40","1,668.40","1,649.00","-","-19.40","-1.16","10,02,002","163.97","1,935.50","919.10","-12.25","47.61"
"NAUKRI","976.85","998.90","960.00","985.25","988.40","-","3.15","0.32","16,47,880","161.90","1,550.00","930.50","-1.01","-26.62"
"INDUSTOWER","417.70","426.35","409.55","423.25","426.00","-","2.75","0.65","36,93,968","154.53","481.50","312.55","-5.03","18.99"
"POLICYBZR","1,427.30","1,433.50","1,390.50","1,433.10","1,425.10","-","-8.00","-0.56","9,75,857","138.12","1,978.00","1,364.00","-2.98","-9.01"
"INDIANB","870.95","874.10","844.00","888.00","870.00","-","-18.00","-2.03","16,07,041","137.77","1,000.00","517.85","-10.92","58.41"
"LICI","738.00","738.00","721.50","746.00","735.90","-","-10.10","-1.35","15,74,617","114.84","980.00","721.50","-12.60","-9.74"
"FORTIS","790.05","791.00","766.80","795.00","789.05","-","-5.95","-0.75","11,71,512","91.27","1,104.30","595.80","-15.38","19.61"
