"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","61,136.40","62,100.35","59,896.10","61,912.75","61,957.60","-","44.85","0.07","36,73,35,224","15,147.26","70,833.65","57,250.25","-9.75","-1.82"
"VEDL","669.90","689.60","652.80","677.20","686.50","-","9.30","1.37","1,60,16,248","1,076.20","769.80","363.00","-5.09","56.20"
"ADANIPOWER","154.50","160.35","150.62","157.11","159.75","-","2.64","1.68","5,98,33,120","937.70","182.70","92.40","15.79","51.04"
"TMCV","390.00","392.65","375.80","396.05","386.90","-","-9.15","-2.31","2,10,90,138","804.91","509.00","306.30","-22.31","-"
"ADANIGREEN","840.00","863.95","814.75","851.95","853.00","-","1.05","0.12","95,16,053","787.92","1,177.55","765.00","-5.59","-10.71"
"MAZDOCK","2,250.00","2,279.00","2,202.80","2,318.20","2,264.00","-","-54.20","-2.34","30,98,113","692.67","3,775.00","2,057.40","2.45","-17.30"
"DMART","4,228.40","4,393.70","4,190.30","4,271.10","4,333.00","-","61.90","1.45","15,79,436","681.34","4,949.50","3,529.00","13.95","4.21"
"HAL","3,638.20","3,700.10","3,551.00","3,670.80","3,680.50","-","9.70","0.26","16,11,009","584.18","5,165.00","3,479.10","-6.86","-14.79"
"DLF","501.00","524.45","489.40","509.75","521.00","-","11.25","2.21","78,52,289","398.72","886.80","489.40","-11.72","-23.39"
"CANBK","124.16","127.71","121.79","127.30","127.00","-","-0.30","-0.24","2,97,41,553","369.03","162.89","83.70","-17.30","34.56"
"BPCL","275.30","281.15","266.60","281.25","279.00","-","-2.25","-0.80","1,34,04,373","365.62","391.65","262.00","-25.56","-2.72"
"BANKBARODA","248.95","250.98","241.00","252.03","250.00","-","-2.03","-0.81","1,48,87,386","365.49","325.50","212.55","-20.69","5.58"
"TATAPOWER","378.85","386.65","368.00","380.20","382.50","-","2.30","0.60","95,43,544","360.18","418.45","335.00","3.84","-0.82"
"PFC","391.05","403.95","382.25","397.70","401.70","-","4.00","1.01","91,47,188","359.62","444.10","329.90","-1.11","-4.66"
